gameId,playId,contactFrameId,tackleFrameId,frames,d_actual,d_ideal,d_eff,gap_tackle,w_carrier,w_tackler,s_downfield_delta,s_contact,s_downfield_contact,s_downfield_contact_t,tackle_category,nflId_t,displayName_t,position_t,ballCarrierId,displayName,position,drive_metric,tackle_gap_metric,vision_metric
2022090800,56,10,18,8,5.01,5.006246098625197,0.9992507182884623,0.6702984409947573,191,208,-1.031605358915307,2.19,1.0278052203399723,-0.17690011153406,proactive,43294,Jalen Ramsey,CB,42489,Stefon Diggs,WR,0.6106150024209134,1.0,0.9515
2022090800,80,20,26,6,4.87,3.7681825858097633,0.7737541243962552,0.3676955262170081,237,230,1.282870459123333,7.54,4.724592737688034,1.2670771516008306,reactive,53532,Ernest Jones,ILB,46076,Josh Allen,QB,0.4247049569633613,1.0,0.7737541243962552
2022090800,101,38,45,7,8.01,5.029373718466349,0.6278868562379961,2.476812467668879,203,184,1.4793867536551375,6.63,6.516861364861544,0.0,proactive,42816,Troy Hill,CB,47857,Devin Singletary,RB,0.4089198046775544,0.0,0.6278868562379961
2022090800,122,20,29,9,12.09,11.855247783154931,0.9805829431889936,0.5731491952362857,203,242,1.8390193727309836,5.78,4.435508496489694,1.0884742943342294,reactive,38577,Bobby Wagner,ILB,47857,Devin Singletary,RB,0.3800323494536464,1.0,0.9805829431889936
2022090800,167,14,18,4,7.0,6.968414453805114,0.9954877791150162,1.591540134586623,191,240,2.724201524830246,6.61,5.702965948607693,4.467673833536914,reactive,43298,Leonard Floyd,DE,42489,Stefon Diggs,WR,0.30893017899569597,0.5105748317667214,0.9515
2022090800,212,8,12,4,5.99,5.985398900658171,0.99923186989285,0.1414213562373095,215,242,2.2752191624535003,6.81,3.82582148498368,3.66343302612248,reactive,38577,Bobby Wagner,ILB,52494,Zack Moss,RB,0.3449946436786042,1.0,0.9515
2022090800,299,32,49,17,7.4700000000000015,7.151013914124348,0.9572977127341828,1.2379418403139972,200,253,-1.6475958071033192,4.89,4.883343017532202,2.2312291036490484,reactive,53459,Gregory Rousseau,DE,47853,Darrell Henderson,RB,0.6600943753880062,0.9525726996075035,0.9572977127341828
2022090800,343,33,35,2,3.59,2.333623791445397,0.6500344822967681,0.3744329045369814,200,250,2.262988288836543,4.47,4.059073302679883,-1.1948129240247638,proactive,46085,Tremaine Edmunds,ILB,47853,Darrell Henderson,RB,0.34597708741484556,1.0,0.9515
2022090800,393,31,52,21,2.93,2.086648029735729,0.7121665630497368,1.1988327656516595,200,308,-1.214790822083489,3.4,3.2374212892620697,0.9872520433313112,reactive,46232,Tim Settle,DT,47853,Darrell Henderson,RB,0.625329356971232,1.0,0.9515
2022090800,414,30,35,5,13.22,9.921678285451508,0.7505051653140324,3.032375306587234,257,185,1.0479277436300092,7.25,5.627932176980121,-3.821837337681482,proactive,52647,Dane Jackson,CB,43399,Tyler Higbee,TE,0.44357670778350977,0.0,0.7505051653140324
