gameId,playId,contactFrameId,tackleFrameId,frames,d_actual,d_ideal,d_eff,gap_tackle,w_carrier,w_tackler,s_downfield_delta,s_contact,s_downfield_contact,s_downfield_contact_t
2022090800,56,10,18,8,5.01,5.006246098625197,0.9992507182884625,0.6702984409947573,191,208,-1.031605358915307,2.19,1.0278052203399723,-0.17690011153406004
2022090800,80,20,26,6,4.87,3.7681825858097633,0.7737541243962552,0.3676955262170081,237,230,1.282870459123333,7.54,4.724592737688034,1.2670771516008306
2022090800,101,38,45,7,8.01,5.029373718466349,0.6278868562379961,2.476812467668879,203,184,1.4793867536551377,6.63,6.516861364861544,0.0
2022090800,122,20,29,9,12.09,11.855247783154931,0.9805829431889935,0.5731491952362857,203,242,1.8390193727309834,5.78,4.435508496489694,1.0884742943342294
2022090800,167,14,18,4,7.0,6.968414453805114,0.9954877791150162,1.591540134586623,191,240,2.724201524830246,6.61,5.702965948607693,4.467673833536914
2022090800,212,8,12,4,5.99,5.985398900658171,0.99923186989285,0.1414213562373095,215,242,2.2752191624535003,6.81,3.8258214849836802,3.6634330261224797
2022090800,299,32,49,17,7.4700000000000015,7.151013914124348,0.9572977127341828,1.2379418403139972,200,253,-1.6475958071033192,4.89,4.883343017532202,2.2312291036490484
2022090800,343,33,35,2,3.59,2.3336237914453974,0.6500344822967681,0.37443290453698147,200,250,2.262988288836543,4.47,4.059073302679883,-1.1948129240247638
2022090800,393,31,52,21,2.93,2.086648029735729,0.7121665630497368,1.1988327656516597,200,308,-1.214790822083489,3.4,3.2374212892620697,0.9872520433313113
2022090800,414,30,35,5,13.219999999999999,9.921678285451508,0.7505051653140324,3.032375306587234,257,185,1.0479277436300092,7.25,5.627932176980121,-3.8218373376814814
2022090800,486,7,25,18,2.74,2.748763358312251,1.0031983059533762,0.39924929555354627,208,191,-3.012754821766033,1.14,0.8869472467506347,-3.6633622990551795
2022090800,529,37,50,13,8.309999999999999,7.721223996232723,0.9291484953348645,1.1315917991926236,203,184,0.828055652230435,4.52,4.295840666894952,1.5928406669362225
